match_id,season,date,venue,team,opp,is_home,toss_won,team_bats_first,toss_won_bat_first,form_rate,form_diff,home_toss_won,home_toss_bat_first,elo_team,elo_opp,venue_win_rate,win_flag,is_home_x_toss_won,elo_diff
524915,2011/12,2011-12-16,Sydney Cricket Ground,Sydney Sixers,Brisbane Heat,1,0,0,0,0.5,0.0,0,0,1500.0,1500.0,0.5,1,0,0.0
524915,2011/12,2011-12-16,Sydney Cricket Ground,Brisbane Heat,Sydney Sixers,0,1,1,1,0.5,0.0,0,0,1500.0,1500.0,0.5,0,0,0.0
524916,2011/12,2011-12-17,Melbourne Cricket Ground,Melbourne Stars,Sydney Thunder,1,0,1,0,0.5,0.0,0,0,1500.0,1500.0,0.5,0,0,0.0
524916,2011/12,2011-12-17,Melbourne Cricket Ground,Sydney Thunder,Melbourne Stars,0,1,0,0,0.5,0.0,0,0,1500.0,1500.0,0.5,1,0,0.0
524917,2011/12,2011-12-18,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,1,0,1,0,0.5,0.0,0,0,1500.0,1500.0,0.5,1,0,0.0
524917,2011/12,2011-12-18,Adelaide Oval,Melbourne Renegades,Adelaide Strikers,0,1,0,0,0.5,0.0,0,0,1500.0,1500.0,0.5,0,0,0.0
524918,2011/12,2011-12-18,Western Australia Cricket Association Ground,Perth Scorchers,Hobart Hurricanes,1,0,0,0,0.5,0.0,0,0,1500.0,1500.0,0.5,0,0,0.0
524918,2011/12,2011-12-18,Western Australia Cricket Association Ground,Hobart Hurricanes,Perth Scorchers,0,1,1,1,0.5,0.0,0,0,1500.0,1500.0,0.5,1,0,0.0
524919,2011/12,2011-12-20,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Melbourne Stars,1,0,0,0,0.0,0.0,0,0,1490.0,1490.0,0.5,0,0,0.0
524919,2011/12,2011-12-20,"Brisbane Cricket Ground, Woolloongabba",Melbourne Stars,Brisbane Heat,0,1,1,1,0.0,0.0,0,0,1490.0,1490.0,0.5,1,0,0.0
524920,2011/12,2011-12-21,Bellerive Oval,Hobart Hurricanes,Sydney Sixers,1,1,1,1,1.0,0.0,1,1,1510.0,1510.0,0.5,1,1,0.0
524920,2011/12,2011-12-21,Bellerive Oval,Sydney Sixers,Hobart Hurricanes,0,0,0,0,1.0,0.0,1,1,1510.0,1510.0,0.5,0,0,0.0
524921,2011/12,2011-12-22,Docklands Stadium,Melbourne Renegades,Perth Scorchers,1,1,1,1,0.0,0.0,1,1,1490.0,1490.0,0.5,0,1,0.0
524921,2011/12,2011-12-22,Docklands Stadium,Perth Scorchers,Melbourne Renegades,0,0,0,0,0.0,0.0,1,1,1490.0,1490.0,0.5,1,0,0.0
524922,2011/12,2011-12-23,Stadium Australia,Sydney Thunder,Adelaide Strikers,0,0,0,0,1.0,0.0,0,0,1510.0,1510.0,0.5,1,0,0.0
524922,2011/12,2011-12-23,Stadium Australia,Adelaide Strikers,Sydney Thunder,0,1,1,1,1.0,0.0,0,0,1510.0,1510.0,0.5,0,0,0.0
524923,2011/12,2011-12-27,Sydney Cricket Ground,Sydney Sixers,Melbourne Stars,1,1,1,1,0.5,0.0,1,1,1500.0,1500.0,1.0,1,1,0.0
524923,2011/12,2011-12-27,Sydney Cricket Ground,Melbourne Stars,Sydney Sixers,0,0,0,0,0.5,0.0,1,1,1500.0,1500.0,1.0,0,0,0.0
524924,2011/12,2011-12-28,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,1,0,0,0,0.5,-0.5,0,0,1500.0,1520.0,1.0,0,0,-20.0
524924,2011/12,2011-12-28,Adelaide Oval,Hobart Hurricanes,Adelaide Strikers,0,1,1,1,1.0,0.5,0,0,1520.0,1500.0,1.0,1,0,20.0
524925,2011/12,2011-12-29,Western Australia Cricket Association Ground,Perth Scorchers,Brisbane Heat,1,1,1,1,0.5,0.5,1,1,1500.0,1480.0,1.0,1,1,20.0
524925,2011/12,2011-12-29,Western Australia Cricket Association Ground,Brisbane Heat,Perth Scorchers,0,0,0,0,0.0,-0.5,1,1,1480.0,1500.0,1.0,0,0,-20.0
524926,2011/12,2011-12-30,Stadium Australia,Sydney Thunder,Melbourne Renegades,0,0,0,0,1.0,1.0,0,0,1520.0,1480.0,1.0,0,0,40.0
524926,2011/12,2011-12-30,Stadium Australia,Melbourne Renegades,Sydney Thunder,0,1,1,1,0.0,-1.0,0,0,1480.0,1520.0,1.0,1,0,-40.0
524927,2011/12,2012-01-01,Bellerive Oval,Hobart Hurricanes,Sydney Thunder,1,0,0,0,1.0,0.33333333333333337,0,0,1529.4249887221547,1508.8537673247542,1.0,1,0,20.57122139740045
524927,2011/12,2012-01-01,Bellerive Oval,Sydney Thunder,Hobart Hurricanes,0,1,1,1,0.6666666666666666,-0.33333333333333337,0,0,1508.8537673247542,1529.4249887221547,1.0,0,0,-20.57122139740045
524928,2011/12,2012-01-02,Docklands Stadium,Melbourne Renegades,Sydney Sixers,1,0,0,0,0.3333333333333333,-0.3333333333333333,0,0,1491.1462326752458,1510.0,1.0,1,0,-18.853767324754244
524928,2011/12,2012-01-02,Docklands Stadium,Sydney Sixers,Melbourne Renegades,0,1,1,1,0.6666666666666666,0.3333333333333333,0,0,1510.0,1491.1462326752458,1.0,0,0,18.853767324754244
